system,nodes,ppn,matrix,backend,solver_time
Tuolumne,8,1,audikw_1,mpi-no-ipc,0.804594
Tuolumne,8,1,Bump_2911,mpi-no-ipc,5.756523
Tuolumne,8,1,Queen_4147,mpi-no-ipc,10.924901
Tuolumne,8,1,Serena,mpi-no-ipc,0.587157
Tuolumne,8,2,audikw_1,mpi-no-ipc,1.219207
Tuolumne,8,2,Bump_2911,mpi-no-ipc,9.830285
Tuolumne,8,2,Queen_4147,mpi-no-ipc,10.670232
Tuolumne,8,2,Serena,mpi-no-ipc,1.028569
Tuolumne,8,4,audikw_1,mpi-no-ipc,1.122018
Tuolumne,8,4,Bump_2911,mpi-no-ipc,8.111652
Tuolumne,8,4,Queen_4147,mpi-no-ipc,10.908756
Tuolumne,8,4,Serena,mpi-no-ipc,0.865991
Tuolumne,16,1,audikw_1,mpi-no-ipc,0.667287
Tuolumne,16,1,Bump_2911,mpi-no-ipc,4.437703
Tuolumne,16,1,Queen_4147,mpi-no-ipc,6.740788
Tuolumne,16,1,Serena,mpi-no-ipc,0.577374
Tuolumne,16,2,audikw_1,mpi-no-ipc,1.026584
Tuolumne,16,2,Bump_2911,mpi-no-ipc,6.883251
Tuolumne,16,2,Queen_4147,mpi-no-ipc,9.226459
Tuolumne,16,2,Serena,mpi-no-ipc,0.823273
Tuolumne,16,4,audikw_1,mpi-no-ipc,1.016122
Tuolumne,16,4,Bump_2911,mpi-no-ipc,6.704804
Tuolumne,16,4,Queen_4147,mpi-no-ipc,8.180968
Tuolumne,16,4,Serena,mpi-no-ipc,0.785656
